status_id,text,datetime,images,links,embed_links
1836101995444236619,Early Voting in Pennsylvania. GO VOTE. MAKE AMERICA GREAT AGAIN!!! DJT,"8:56 PM · Sep 17, 2024",[],[],[]
1836100511960818044,"Your Automobile Insurance is up 73% — VOTE FOR TRUMP, I’LL CUT THAT NUMBER IN HALF!","8:50 PM · Sep 17, 2024",[],[],[]
1835873233133842760,"FIGHT, FIGHT, FIGHT!!!!!","5:47 AM · Sep 17, 2024",[],['https://t.co/3KWOl2ibaW'],[]
1835754983259558260,"Join me live from Mar-A-Lago at 8:00PM Eastern, tonight on X Spaces. Set a reminder and be sure to tune in!","9:57 PM · Sep 16, 2024",[],[],[]
1835717973069197484,"The Rhetoric, Lies, as exemplified by the false statements made by Comrade Kamala Harris during the rigged and highly partisan ABC Debate, and all of the ridiculous lawsuits specifically designed to inflict damage on Joe’s, then Kamala’s, Political Opponent, ME, has taken politics in our Country to a whole new level of Hatred, Abuse, and Distrust. Because of this Communist Left Rhetoric, the bullets are flying, and it will only get worse! Allowing millions of people, from places unknown, to INVADE and take over our Country, is an unpardonable sin. OUR BORDERS MUST BE CLOSED, AND THE TERRORISTS, CRIMINALS, AND MENTALLY INSANE, IMMEDIATELY REMOVED FROM AMERICAN CITIES AND TOWNS, DEPORTED BACK TO THEIR COUNTIES OF ORIGIN. WE WANT PEOPLE TO COME INTO OUR COUNTRY, BUT THEY MUST LOVE OUR NATION, AND COME IN LEGALLY AND THROUGH A SYSTEM OF MERIT. THE WORLD IS LAUGHING AT US AS FOOLS, THEY ARE STEALING OUR JOBS AND OUR WEALTH. WE CANNOT LET THEM LAUGH ANY LONGER. MAKE AMERICA GREAT AGAIN!","7:30 PM · Sep 16, 2024",[],[],[]
1835717567907787035,"I would like to thank everyone for your concern and well wishes - It was certainly an interesting day! Most importantly, I want to thank the U.S. Secret Service, Sheriff Ric Bradshaw and his Office of brave and dedicated Patriots, and, all of Law Enforcement, for the incredible job done today at Trump International in keeping me, as the 45th President of the United States, and the Republican Nominee in the upcoming Presidential Election, SAFE. THE JOB DONE WAS ABSOLUTELY OUTSTANDING. I AM VERY PROUD TO BE AN AMERICAN!","7:29 PM · Sep 16, 2024",[],[],[]
1835315698169475316,"As President I will immediately end the migrant invasion of America. We will stop all migrant flights, end all illegal entries, terminate the Kamala phone app for smuggling illegals (CBP One App), revoke deportation immunity, suspend refugee resettlement, and return Kamala’s illegal migrants to their home countries (also known as remigration). I will save our cities and towns in Minnesota, Wisconsin, Michigan, Pennsylvania, North Carolina, and all across America. #MAGA2024!","4:52 PM · Sep 15, 2024",[],[],[]
1834833442061611327,"THANK YOU, NEVADA! #MAGA2024","8:55 AM · Sep 14, 2024",[],[],[]
1834374793577042006,"THANK YOU, ARIZONA! #MAGA2024","2:33 AM · Sep 13, 2024",[],[],[]
1833476085998063741,https://melaniatrump.com,"3:02 PM · Sep 10, 2024",[],[],[]
