status_id,text,datetime,images,links,embed_links
1835019601437945976,Another W!,"9:15 PM · Sep 14, 2024",['https://pbs.twimg.com/media/GXdMmYeWAAAX6xI?format=jpg&name=900x900'],[],[]
1829964580212392323,3 points back to Manchester!,"10:28 PM · Aug 31, 2024","['https://pbs.twimg.com/media/GWVXFI2W8AAoC-6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWVXFI5XIAAbTLk?format=jpg&name=360x360']",[],[]
1827385287736991808,Home Sweet Home.,"7:39 PM · Aug 24, 2024",['https://pbs.twimg.com/media/GVwtOxeW8AA-Rzs?format=jpg&name=small'],[],[]
1825245735794737513,How it feels to start another season,"9:57 PM · Aug 18, 2024","['https://pbs.twimg.com/media/GVSTUcQXMAAJyxn?format=jpg&name=small', 'https://pbs.twimg.com/media/GVSTUcLWUAAB92P?format=jpg&name=small']",[],[]
1822538752872386799,The first one!,"10:41 AM · Aug 11, 2024","['https://pbs.twimg.com/media/GUr1VHAWEAAikFj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GUr1VG9W0AEOmET?format=jpg&name=360x360']",[],[]
1820916959195668677,Back to work.,"11:16 PM · Aug 6, 2024",['https://pbs.twimg.com/media/GUUyUjNXYAE4Jpd?format=jpg&name=900x900'],[],[]
1807870790668361940,Played our hearts out today. Thanks to everyone who came out to support!,"11:15 PM · Jul 1, 2024",['https://pbs.twimg.com/media/GRbY5iqXUAA-Zmj?format=jpg&name=900x900'],[],[]
1806742226761871719,Thank you for the bday wishes. Chapter 33 underway,"8:31 PM · Jun 28, 2024",['https://pbs.twimg.com/media/GRLWeltXcAAPChn?format=jpg&name=small'],[],[]
1806048567662104641,Through!!,"10:35 PM · Jun 26, 2024","['https://pbs.twimg.com/media/GRBfmBIWEAAT62-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GRBfmBJWUAAJcXa?format=jpg&name=360x360']",[],[]
1804644192729116898,The only right answer!,"1:34 AM · Jun 23, 2024","['https://pbs.twimg.com/media/GQtiUgEXcAANE1t?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GQtiUgFWcAEf6qJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GQtiUgDWEAEjBgW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GQtiUgFXYAA-vLp?format=jpg&name=360x360']",[],[]
