status_id,text,datetime,images,links,embed_links
1835732266061873180,"Mejor jugador @championsleague 23/24. 

El trabajo y la personalidad te llevan a lugares altos. Gracias a todos mis compañeros por esto. Os quiero!!!","8:27 PM · Sep 16, 2024",['https://pbs.twimg.com/media/GXnUw5IWkAAiVci?format=jpg&name=small'],[],[]
1835716130796712118,Mañana es Champions League? Okay!!,"7:23 PM · Sep 16, 2024",['https://pbs.twimg.com/media/GXnGFw9WYAEt6YT?format=jpg&name=medium'],[],[]
1830555032539861496,Fútbol. /,"1:35 PM · Sep 2, 2024",['https://pbs.twimg.com/media/GWdwGKtXcAAug8p?format=jpg&name=900x900'],[],[]
1830367339025699160,MADRID SOCCER MOM TOUR 2024,"1:09 AM · Sep 2, 2024","['https://pbs.twimg.com/media/GWbFYzQWcAA7_kt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbFYzTXEAAyymh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbFYy1aIAEym_u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbFYyzbEAAHbfR?format=jpg&name=small']",[],[]
1830366858085806392,MADRID SOCCER MOM TOUR 2024,"1:07 AM · Sep 2, 2024","['https://pbs.twimg.com/media/GWbE8__aAAAnN1u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbE9AkXsAAXN8u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbE8__a8AAqzRz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbE9AeXEAA_dww?format=jpg&name=360x360']",[],[]
1830366584961179778,MADRID SOCCER MOM TOUR 2024,"1:06 AM · Sep 2, 2024","['https://pbs.twimg.com/media/GWbEtLcbkAAz3P2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbEtL-WsAAUVG5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbEtLda8AAeBN2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GWbEtLiboAAfC7h?format=jpg&name=360x360']",[],[]
1827449848712646906,TUDO NORMAL!!!!  VICIADOS EM TÍTULOS!!,"11:56 PM · Aug 24, 2024",['https://pbs.twimg.com/media/GVxn8yXW8AAlf14?format=jpg&name=900x900'],[],[]
1827436779055546765,,"11:04 PM · Aug 24, 2024",['https://pbs.twimg.com/media/GVxcEC5XkAASamY?format=jpg&name=small'],[],[]
1826319689645019168,,"9:05 PM · Aug 21, 2024",['https://pbs.twimg.com/media/GVhkE6OWsAAJCgB?format=jpg&name=small'],[],[]
1824100034771665215,Parece fácil…  MI HERMANO!!!! Enhorabuena lukitaaaaa!!!,"6:05 PM · Aug 15, 2024",['https://pbs.twimg.com/media/GVAv-X7WwAA2SCj?format=jpg&name=small'],[],[]
