post_link,image_url
,,https://instagram.fcai19-7.fna.fbcdn.net/v/t51.2885-19/278931269_360124899498969_9006978846103417088_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fcai19-7.fna.fbcdn.net&_nc_cat=1&_nc_ohc=5a4RE2ouAs0Q7kNvgHafajH&_nc_gid=f387818bff2d44048cd55ae16de4100f&edm=ALGbJPMBAAAA&ccb=7-5&oh=00_AYCG2lz5lDnGiAyvpvJWPTNeBMzszKi5sT9IRk5VmecISQ&oe=67490F0E&_nc_sid=7d3ac5
,,
,,
😎,2024-11-24T11:44:35.000Z,https://instagram.fcai19-7.fna.fbcdn.net/v/t51.2885-15/468071444_18589958587056421_7096770378443062208_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fcai19-7.fna.fbcdn.net&_nc_cat=1&_nc_ohc=8xJhDBPVyEoQ7kNvgG3NTwj&_nc_gid=1d5425404ed841cab39a550044af99c7&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzUwODM1NjIyMjU5MDAwMDM2MA%3D%3D.3-ccb7-5&oh=00_AYA-liXhYZby5BGT4I_IubQcEgHxh7rQXCqWu_XNRMpJSQ&oe=67493AF2&_nc_sid=7a9f4b
Do you think I’ll beat @mrbeast? 😏 Check out my full video on the UR Cristiano YouTube channel!,2024-11-21T14:02:50.000Z,https://instagram.fcai19-7.fna.fbcdn.net/v/t51.2885-15/467860440_18589391665056421_1609224693794203692_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fcai19-7.fna.fbcdn.net&_nc_cat=1&_nc_ohc=a8o0oSotmSUQ7kNvgG8qZgb&_nc_gid=1d5425404ed841cab39a550044af99c7&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzUwNjI0NTEwMTA4Mjk1NDA3NA%3D%3D.3-ccb7-5&oh=00_AYDd3PBGMSj9meuWg_9KBTNSfC4-wbaWVoL1c5WQN6l0IA&oe=67491617&_nc_sid=7a9f4b
"Our story… unfiltered!
Follow our journey as it unfolds in the Netflix docuseries, Saudi Pro League: Kickoff, now streaming on Netflix.

#SPLKickoff_Netflix @NetflixMENA",2024-11-21T08:30:21.000Z,https://instagram.fcai19-7.fna.fbcdn.net/v/t51.2885-15/467623718_18589348273056421_7582281926621199386_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fcai19-7.fna.fbcdn.net&_nc_cat=1&_nc_ohc=_1E4iyohzYYQ7kNvgFxmuFP&_nc_gid=1d5425404ed841cab39a550044af99c7&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzUwNjA4MTk2NTQ5OTQ4Njg0MQ%3D%3D.3-ccb7-5&oh=00_AYCsSB1VEouvHAowG5i9ZhrJmoc8hQnSSCcR_q83cItygA&oe=67493BBB&_nc_sid=7a9f4b
Back to work 🟡🔵,2024-11-20T17:05:01.000Z,https://instagram.fcai19-7.fna.fbcdn.net/v/t51.2885-15/467623719_18589237930056421_1058988401817965521_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44NDZ4ODQ2LnNkci5mNzU3NjEuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=instagram.fcai19-7.fna.fbcdn.net&_nc_cat=1&_nc_ohc=7OWdXn4H6yMQ7kNvgFtgsMO&_nc_gid=1d5425404ed841cab39a550044af99c7&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzUwNTYxODM4OTg0ODY4MTIyMQ%3D%3D.3-ccb7-5&oh=00_AYC3QkTUQ1jK7lCpIP1PxVOt6YPjk4lfat0sD0XNmlTWWA&oe=6749493B&_nc_sid=7a9f4b
"When fiction and reality have something in common: @cristiano 🐐

#CR7 #CRISTIANORONALDO #PLAYFECTIONISM #CR7FRAGRANCES",2024-11-19T14:35:50.000Z,https://instagram.fcai19-7.fna.fbcdn.net/v/t51.2885-15/467312826_18473359333042680_2894501041319482024_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmY3NTc2MS5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=instagram.fcai19-7.fna.fbcdn.net&_nc_cat=1&_nc_ohc=q6KwTUr04V4Q7kNvgGmWBR5&_nc_gid=1d5425404ed841cab39a550044af99c7&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzUwNDgxNzA4NTIwMTEwMDUzNw%3D%3D.3-ccb7-5&oh=00_AYDHrk7UaOf2AM5a0HHJfP-jFwyVjuG8Uv3gvJ_cRAaq7w&oe=674924D0&_nc_sid=7a9f4b
Invictos a caminho dos quartos! 💪🏼,2024-11-15T22:25:36.000Z,https://instagram.fcai19-7.fna.fbcdn.net/v/t51.2885-15/466995347_18588339406056421_6500272581516724293_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0Mzkuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fcai19-7.fna.fbcdn.net&_nc_cat=1&_nc_ohc=KNOUENJPs7oQ7kNvgHNRMKf&_nc_gid=1d5425404ed841cab39a550044af99c7&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzUwMjE1NTg3MzQ0OTQ2NzQyMA%3D%3D.3-ccb7-5&oh=00_AYBxYB6kITyulIReHKtxrDxnncaVsYdGeGNHWoNUUppGmQ&oe=674929E6&_nc_sid=7a9f4b
Focados na vitória! 🇵🇹,2024-11-14T17:01:08.000Z,https://instagram.fcai19-7.fna.fbcdn.net/v/t51.2885-15/466866396_18588099931056421_2001980459139843458_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0Mzkuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fcai19-7.fna.fbcdn.net&_nc_cat=1&_nc_ohc=c1GqF7khd7YQ7kNvgGAkPJ2&_nc_gid=1d5425404ed841cab39a550044af99c7&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzUwMTI2NzQ1NzI0OTcxODk0OA%3D%3D.3-ccb7-5&oh=00_AYD1XEAJd3d5_wVy9vDtynRm_QiYJQjOIzrtcYFHocUraQ&oe=67491823&_nc_sid=7a9f4b
